ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Botswana,Unemployment rate by sex and age (%),HS - Multi-Topic Household Survey,Sex: Male,Age (Aggregate bands): Total,2019,21.7,Break in series,,Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Botswana,Unemployment rate by sex and age (%),HS - Multi-Topic Household Survey,Sex: Female,Age (Aggregate bands): Total,2019,23.5,Break in series,,Unemployment definition: Two criteria (not in employment and seeking) | Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Canada,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,6.03,,,,Repository: ILO-STATISTICS - Micro data processing
Canada,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.25,,,,Repository: ILO-STATISTICS - Micro data processing
Switzerland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.11,,,,Repository: Eurostat special tabulation
Switzerland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.71,,,,Repository: Eurostat special tabulation
Chile,Unemployment rate by sex and age (%),LFS - Encuesta Nacional de Empleo,Sex: Male,Age (Aggregate bands): Total,2019,6.76,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers (although not measured separately)
Chile,Unemployment rate by sex and age (%),LFS - Encuesta Nacional de Empleo,Sex: Female,Age (Aggregate bands): Total,2019,8.02,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers (although not measured separately)
Cook Islands,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,1.58,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Cook Islands,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,0.91,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Colombia,Unemployment rate by sex and age (%),LFS - Gran Encuesta Integrada de Hogares,Sex: Male,Age (Aggregate bands): Total,2019,7.88,,,,Repository: ILO-STATISTICS - Micro data processing
Colombia,Unemployment rate by sex and age (%),LFS - Gran Encuesta Integrada de Hogares,Sex: Female,Age (Aggregate bands): Total,2019,12.75,,,,Repository: ILO-STATISTICS - Micro data processing
Cape Verde,Unemployment rate by sex and age (%),LFS - Inquérito Multi-Objectivo Contínuo Estatísticas do Emprego e Mercado de Trabalho,Sex: Male,Age (Aggregate bands): Total,2019,10.7,,,,Employment definition: Including subsistence workers
Cape Verde,Unemployment rate by sex and age (%),LFS - Inquérito Multi-Objectivo Contínuo Estatísticas do Emprego e Mercado de Trabalho,Sex: Female,Age (Aggregate bands): Total,2019,12.1,,,,Employment definition: Including subsistence workers
Costa Rica,Unemployment rate by sex and age (%),LFS - Encuesta Continua de Empleo,Sex: Male,Age (Aggregate bands): Total,2019,9.14,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Costa Rica,Unemployment rate by sex and age (%),LFS - Encuesta Continua de Empleo,Sex: Female,Age (Aggregate bands): Total,2019,14.98,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Cyprus,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,6.26,,,,Repository: Eurostat special tabulation
Cyprus,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,7.98,,,,Repository: Eurostat special tabulation
Czechia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,1.72,,,,Repository: Eurostat special tabulation
Czechia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,2.38,,,,Repository: Eurostat special tabulation
Germany,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.49,,,,Repository: Eurostat special tabulation
Germany,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,2.73,,,,Repository: Eurostat special tabulation
Denmark,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.8,,,,Repository: Eurostat special tabulation
Denmark,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.27,,,,Repository: Eurostat special tabulation
Dominican Republic,Unemployment rate by sex and age (%),LFS - Encuesta Nacional Continua de Fuerza de Trabajo,Sex: Male,Age (Aggregate bands): Total,2019,4.07,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers (although not measured separately)
Dominican Republic,Unemployment rate by sex and age (%),LFS - Encuesta Nacional Continua de Fuerza de Trabajo,Sex: Female,Age (Aggregate bands): Total,2019,9.51,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers (although not measured separately)
Ecuador,Unemployment rate by sex and age (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Sex: Male,Age (Aggregate bands): Total,2019,3.25,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Ecuador,Unemployment rate by sex and age (%),"LFS - Encuesta Nacional de Empleo, Desempleo y SubEmpleo",Sex: Female,Age (Aggregate bands): Total,2019,4.58,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: ILO-STATISTICS - Micro data processing
Egypt,Unemployment rate by sex and age (%),LFS - Labour Force Sample Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.83,,,,Repository: ILO-STATISTICS - Micro data processing
Egypt,Unemployment rate by sex and age (%),LFS - Labour Force Sample Survey,Sex: Female,Age (Aggregate bands): Total,2019,21.61,,,,Repository: ILO-STATISTICS - Micro data processing
Spain,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,12.45,,,,Repository: Eurostat special tabulation
Spain,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,15.99,,,,Repository: Eurostat special tabulation
Estonia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.07,,,,Repository: Eurostat special tabulation
Estonia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.84,,,,Repository: Eurostat special tabulation
Finland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,7.18,,,,Repository: Eurostat special tabulation
Finland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,6.17,,,,Repository: Eurostat special tabulation
France,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,8.47,,,,Repository: Eurostat special tabulation
France,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,8.35,,,,Repository: Eurostat special tabulation
United Kingdom,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.92,,,,Repository: Eurostat special tabulation
United Kingdom,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.53,,,,Repository: Eurostat special tabulation
Georgia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,12.79,,,,Repository: ILO-STATISTICS - Micro data processing
Georgia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,10.15,,,,Repository: ILO-STATISTICS - Micro data processing
Guinea,Unemployment rate by sex and age (%),LFS - Enquête Nationale sur l'Emploi et le Secteur Informel,Sex: Male,Age (Aggregate bands): Total,2019,4.98,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Guinea,Unemployment rate by sex and age (%),LFS - Enquête Nationale sur l'Emploi et le Secteur Informel,Sex: Female,Age (Aggregate bands): Total,2019,5.06,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Greece,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,13.98,,,,Repository: Eurostat special tabulation
Greece,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,21.5,,,,Repository: Eurostat special tabulation
Guatemala,Unemployment rate by sex and age (%),LFS - Encuesta Nacional de Empleo e Ingresos,Sex: Male,Age (Aggregate bands): Total,2019,1.82,,,,Repository: ILO-STATISTICS - Micro data processing
Guatemala,Unemployment rate by sex and age (%),LFS - Encuesta Nacional de Empleo e Ingresos,Sex: Female,Age (Aggregate bands): Total,2019,2.91,,,,Repository: ILO-STATISTICS - Micro data processing
Guyana,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,12.45,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Third quarter
Guyana,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,15.08,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Third quarter
"Hong Kong, China",Unemployment rate by sex and age (%),LFS - General Household Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.56,,,,Repository: ILO-STATISTICS - Micro data processing
"Hong Kong, China",Unemployment rate by sex and age (%),LFS - General Household Survey,Sex: Female,Age (Aggregate bands): Total,2019,2.31,,,,Repository: ILO-STATISTICS - Micro data processing
Honduras,Unemployment rate by sex and age (%),HS - Encuesta Permanente de Hogares de Propósitos Múltiples,Sex: Male,Age (Aggregate bands): Total,2019,4.22,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers (although not measured separately) | Data reference period: Second quarter
Honduras,Unemployment rate by sex and age (%),HS - Encuesta Permanente de Hogares de Propósitos Múltiples,Sex: Female,Age (Aggregate bands): Total,2019,8.06,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers (although not measured separately) | Data reference period: Second quarter
Croatia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,6.15,,,,Repository: Eurostat special tabulation
Croatia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,7.16,,,,Repository: Eurostat special tabulation
Hungary,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.36,,,,Repository: Eurostat special tabulation
Hungary,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.5,,,,Repository: Eurostat special tabulation
Indonesia,Unemployment rate by sex and age (%),LFS - National Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.77,,,,Repository: ILO-STATISTICS - Micro data processing
Indonesia,Unemployment rate by sex and age (%),LFS - National Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.35,,,,Repository: ILO-STATISTICS - Micro data processing
India,Unemployment rate by sex and age (%),LFS - Periodic Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.37,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year
India,Unemployment rate by sex and age (%),LFS - Periodic Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.94,,,,Repository: ILO-STATISTICS - Micro data processing | Data reference period: Noncalendar year
Ireland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.17,,,,Repository: Eurostat special tabulation
Ireland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.69,,,,Repository: Eurostat special tabulation
"Iran, Islamic Republic of",Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,9.1,,,,Repository: ILO-STATISTICS - Micro data processing
"Iran, Islamic Republic of",Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,17.55,,,,Repository: ILO-STATISTICS - Micro data processing
Iceland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.84,,,,Repository: Eurostat special tabulation
Iceland,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.11,,,,Repository: Eurostat special tabulation
Israel,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.69,,,,Repository: OECD
Israel,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.93,,,,Repository: OECD
Italy,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,9.09,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: Eurostat special tabulation
Italy,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,11.1,,,Unemployment definition: Two criteria (not in employment and seeking),Repository: Eurostat special tabulation
Jamaica,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.83,,,,Repository: ILO-STATISTICS - Micro data processing
Jamaica,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,6.36,,,,Repository: ILO-STATISTICS - Micro data processing
Jordan,Unemployment rate by sex and age (%),LFS - Employment and Unemployment Survey,Sex: Male,Age (Aggregate bands): Total,2019,15.45,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Jordan,Unemployment rate by sex and age (%),LFS - Employment and Unemployment Survey,Sex: Female,Age (Aggregate bands): Total,2019,24.12,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Japan,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,2.5,,,,
Japan,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,2.2,,,,
Kenya,Unemployment rate by sex and age (%),HIES - Household Budget Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.78,,,,Repository: ILO-STATISTICS - Micro data processing
Kenya,Unemployment rate by sex and age (%),HIES - Household Budget Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.26,,,,Repository: ILO-STATISTICS - Micro data processing
Cambodia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,1.23,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Cambodia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,1.21,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Kiribati,Unemployment rate by sex and age (%),HIES - Household Income and Expenditure Survey,Sex: Male,Age (Aggregate bands): Total,2019,8.54,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Kiribati,Unemployment rate by sex and age (%),HIES - Household Income and Expenditure Survey,Sex: Female,Age (Aggregate bands): Total,2019,8.67,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
"Korea, Republic of",Unemployment rate by sex and age (%),LFS - Economically Active Population Survey,Sex: Male,Age (Aggregate bands): Total,2019,3.87,,,,Repository: ILO-STATISTICS - Micro data processing
"Korea, Republic of",Unemployment rate by sex and age (%),LFS - Economically Active Population Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.58,,,,Repository: ILO-STATISTICS - Micro data processing
Kosovo,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,22.73,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Kosovo,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,35.42,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Lebanon,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,9.97,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Lebanon,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,14.35,Break in series,,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Saint Lucia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,13.84,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: Nonstandard minimum age
Saint Lucia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,16.95,,,,Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: Nonstandard minimum age
Lesotho,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,22.58,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Lesotho,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,22.29,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - minimum age: 10 years old | Age coverage - maximum age: 75 years old
Lithuania,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,7.02,,,,Repository: Eurostat special tabulation
Lithuania,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.49,,,,Repository: Eurostat special tabulation
Luxembourg,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.65,,,,Repository: Eurostat special tabulation
Luxembourg,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.53,,,,Repository: Eurostat special tabulation
Latvia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,7.2,,,,Repository: Eurostat special tabulation
Latvia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.43,,,,Repository: Eurostat special tabulation
"Macau, China",Unemployment rate by sex and age (%),LFS - Employment Survey,Sex: Male,Age (Aggregate bands): Total,2019,2.1,,,Unemployment definition: Two criteria (not in employment and currently available),Age coverage - minimum age: 16 years old
"Macau, China",Unemployment rate by sex and age (%),LFS - Employment Survey,Sex: Female,Age (Aggregate bands): Total,2019,1.3,,,Unemployment definition: Two criteria (not in employment and currently available),Age coverage - minimum age: 16 years old
"Moldova, Republic of",Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.8,,,,Repository: ILO-STATISTICS - Micro data processing
"Moldova, Republic of",Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.35,,,,Repository: ILO-STATISTICS - Micro data processing
Maldives,Unemployment rate by sex and age (%),HIES - Household Income and Expenditure Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.64,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Maldives,Unemployment rate by sex and age (%),HIES - Household Income and Expenditure Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.9,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Mexico,Unemployment rate by sex and age (%),LFS - Encuesta Nacional de Ocupación y Empleo,Sex: Male,Age (Aggregate bands): Total,2019,3.46,,,,Repository: ILO-STATISTICS - Micro data processing
Mexico,Unemployment rate by sex and age (%),LFS - Encuesta Nacional de Ocupación y Empleo,Sex: Female,Age (Aggregate bands): Total,2019,3.52,,,,Repository: ILO-STATISTICS - Micro data processing
Marshall Islands,Unemployment rate by sex and age (%),HIES - Household Income and Expenditure Survey,Sex: Male,Age (Aggregate bands): Total,2019,7.4,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
Marshall Islands,Unemployment rate by sex and age (%),HIES - Household Income and Expenditure Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.28,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers
North Macedonia,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,16.48,,,,Repository: Eurostat special tabulation
